No	Time	DC/AC	Value	Unit	AUTO
1	15:54:35	DC	023,7	uA	pass
2	15:54:35	DC	023,7	uA	pass
3	15:54:36	DC	023,7	uA	pass
4	15:54:36	DC	023,7	uA	pass
5	15:54:37	DC	023,7	uA	pass
6	15:54:37	DC	023,7	uA	pass
7	15:54:38	DC	023,7	uA	pass
8	15:54:39	DC	023,7	uA	pass
9	15:54:39	DC	023,6	uA	pass
10	15:54:40	DC	023,6	uA	pass
11	15:54:40	DC	023,7	uA	pass
12	15:54:41	DC	023,7	uA	pass
13	15:54:42	DC	023,7	uA	pass
14	15:54:42	DC	023,7	uA	pass
15	15:54:43	DC	023,6	uA	pass
16	15:54:43	DC	023,5	uA	pass
17	15:54:44	DC	023,5	uA	pass
18	15:54:44	DC	023,5	uA	pass
19	15:54:45	DC	023,4	uA	pass
20	15:54:46	DC	023,4	uA	pass
21	15:54:46	DC	023,3	uA	pass
22	15:54:47	DC	023,3	uA	pass
23	15:54:47	DC	023,3	uA	pass
24	15:54:48	DC	023,2	uA	pass
25	15:54:49	DC	023,2	uA	pass
26	15:54:49	DC	023,2	uA	pass
27	15:54:50	DC	023,2	uA	pass
28	15:54:50	DC	023,2	uA	pass
29	15:54:51	DC	023,1	uA	pass
30	15:54:51	DC	023,0	uA	pass
31	15:54:52	DC	023,0	uA	pass
32	15:54:53	DC	023,0	uA	pass
33	15:54:53	DC	022,9	uA	pass
34	15:54:54	DC	022,9	uA	pass
35	15:54:54	DC	022,8	uA	pass
36	15:54:55	DC	022,8	uA	pass
37	15:54:56	DC	022,8	uA	pass
38	15:54:56	DC	022,8	uA	pass
39	15:54:57	DC	022,7	uA	pass
40	15:54:57	DC	022,6	uA	pass
41	15:54:58	DC	022,6	uA	pass
42	15:54:58	DC	022,6	uA	pass
43	15:54:59	DC	022,5	uA	pass
44	15:55:00	DC	022,5	uA	pass
45	15:55:00	DC	022,4	uA	pass
46	15:55:01	DC	022,4	uA	pass
47	15:55:01	DC	022,4	uA	pass
48	15:55:02	DC	022,4	uA	pass
49	15:55:03	DC	022,3	uA	pass
50	15:55:03	DC	022,3	uA	pass
51	15:55:04	DC	022,3	uA	pass
