No	Time	DC/AC	Value	Unit	AUTO
1	15:12:59	DC	-058,1	V	pass
2	15:12:59	DC	-058,1	V	pass
3	15:13:00	DC	-058,1	V	pass
4	15:13:01	DC	-058,0	V	pass
5	15:13:01	DC	-058,0	V	pass
6	15:13:02	DC	-058,0	V	pass
7	15:13:02	DC	-058,1	V	pass
8	15:13:03	DC	-058,1	V	pass
9	15:13:04	DC	-058,1	V	pass
10	15:13:04	DC	-058,1	V	pass
11	15:13:05	DC	-058,1	V	pass
12	15:13:05	DC	-058,1	V	pass
13	15:13:06	DC	-058,1	V	pass
14	15:13:07	DC	-058,1	V	pass
15	15:13:07	DC	-058,1	V	pass
16	15:13:08	DC	-058,1	V	pass
17	15:13:08	DC	-058,1	V	pass
18	15:13:09	DC	-058,1	V	pass
19	15:13:10	DC	-058,0	V	pass
20	15:13:10	DC	-058,0	V	pass
21	15:13:11	DC	-058,1	V	pass
22	15:13:11	DC	-058,0	V	pass
23	15:13:12	DC	-057,9	V	pass
24	15:13:13	DC	-057,9	V	pass
25	15:13:13	DC	-057,8	V	pass
26	15:13:14	DC	-057,8	V	pass
27	15:13:14	DC	-057,7	V	pass
28	15:13:15	DC	-057,7	V	pass
29	15:13:16	DC	-057,6	V	pass
30	15:13:16	DC	-057,6	V	pass
31	15:13:17	DC	-057,6	V	pass
32	15:13:17	DC	-057,5	V	pass
33	15:13:18	DC	-057,4	V	pass
34	15:13:19	DC	-057,4	V	pass
35	15:13:19	DC	-057,3	V	pass
36	15:13:20	DC	-057,2	V	pass
37	15:13:20	DC	-057,2	V	pass
38	15:13:21	DC	-057,1	V	pass
39	15:13:22	DC	-057,1	V	pass
40	15:13:22	DC	-057,0	V	pass
41	15:13:23	DC	-056,9	V	pass
42	15:13:23	DC	-056,9	V	pass
43	15:13:24	DC	-056,8	V	pass
44	15:13:25	DC	-056,8	V	pass
45	15:13:25	DC	-056,7	V	pass
46	15:13:26	DC	-056,7	V	pass
47	15:13:26	DC	-056,6	V	pass
