No	Time	DC/AC	Value	Unit	AUTO
1	15:40:59	DC	027,2	uA	pass
2	15:40:59	DC	027,1	uA	pass
3	15:41:00	DC	027,1	uA	pass
4	15:41:00	DC	027,1	uA	pass
5	15:41:01	DC	027,1	uA	pass
6	15:41:02	DC	027,1	uA	pass
7	15:41:02	DC	027,1	uA	pass
8	15:41:03	DC	027,1	uA	pass
9	15:41:03	DC	027,2	uA	pass
10	15:41:04	DC	027,1	uA	pass
11	15:41:04	DC	027,1	uA	pass
12	15:41:05	DC	027,1	uA	pass
13	15:41:06	DC	027,2	uA	pass
14	15:41:06	DC	027,2	uA	pass
15	15:41:07	DC	027,1	uA	pass
16	15:41:07	DC	027,1	uA	pass
17	15:41:08	DC	027,1	uA	pass
18	15:41:09	DC	027,1	uA	pass
19	15:41:09	DC	027,1	uA	pass
20	15:41:10	DC	027,0	uA	pass
21	15:41:10	DC	027,0	uA	pass
22	15:41:11	DC	027,0	uA	pass
23	15:41:11	DC	027,0	uA	pass
24	15:41:12	DC	027,0	uA	pass
25	15:41:13	DC	027,0	uA	pass
26	15:41:13	DC	026,9	uA	pass
27	15:41:14	DC	026,9	uA	pass
28	15:41:14	DC	026,9	uA	pass
29	15:41:15	DC	026,8	uA	pass
30	15:41:16	DC	026,8	uA	pass
31	15:41:16	DC	026,8	uA	pass
32	15:41:17	DC	026,7	uA	pass
33	15:41:17	DC	026,6	uA	pass
34	15:41:18	DC	026,6	uA	pass
35	15:41:18	DC	026,6	uA	pass
36	15:41:19	DC	026,6	uA	pass
37	15:41:20	DC	026,5	uA	pass
38	15:41:20	DC	026,5	uA	pass
39	15:41:21	DC	026,5	uA	pass
40	15:41:21	DC	026,4	uA	pass
41	15:41:22	DC	026,4	uA	pass
42	15:41:23	DC	026,4	uA	pass
43	15:41:23	DC	026,4	uA	pass
44	15:41:24	DC	026,3	uA	pass
45	15:41:24	DC	026,2	uA	pass
46	15:41:25	DC	026,2	uA	pass
47	15:41:25	DC	026,2	uA	pass
48	15:41:26	DC	026,1	uA	pass
49	15:41:27	DC	026,1	uA	pass
50	15:41:27	DC	026,0	uA	pass
51	15:41:28	DC	026,0	uA	pass
52	15:41:28	DC	026,0	uA	pass
53	15:41:29	DC	025,9	uA	pass
54	15:41:30	DC	025,9	uA	pass
55	15:41:30	DC	025,9	uA	pass
56	15:41:31	DC	025,8	uA	pass
57	15:41:31	DC	025,8	uA	pass
58	15:41:32	DC	025,8	uA	pass
59	15:41:32	DC	025,7	uA	pass
60	15:41:33	DC	025,6	uA	pass
61	15:41:34	DC	025,6	uA	pass
62	15:41:34	DC	025,6	uA	pass
63	15:41:35	DC	025,5	uA	pass
64	15:41:35	DC	025,5	uA	pass
65	15:41:36	DC	025,5	uA	pass
66	15:41:37	DC	025,5	uA	pass
67	15:41:37	DC	025,4	uA	pass
68	15:41:38	DC	025,4	uA	pass
69	15:41:38	DC	025,3	uA	pass
70	15:41:39	DC	025,3	uA	pass
71	15:41:39	DC	025,2	uA	pass
72	15:41:40	DC	025,2	uA	pass
73	15:41:41	DC	025,2	uA	pass
74	15:41:41	DC	025,1	uA	pass
75	15:41:42	DC	025,1	uA	pass
76	15:41:42	DC	025,1	uA	pass
77	15:41:43	DC	025,0	uA	pass
78	15:41:44	DC	025,0	uA	pass
79	15:41:44	DC	024,9	uA	pass
80	15:41:45	DC	024,8	uA	pass
81	15:41:45	DC	024,8	uA	pass
82	15:41:46	DC	024,8	uA	pass
83	15:41:46	DC	024,7	uA	pass
84	15:41:47	DC	024,7	uA	pass
85	15:41:48	DC	024,7	uA	pass
86	15:41:48	DC	024,6	uA	pass
87	15:41:49	DC	024,5	uA	pass
88	15:41:49	DC	024,5	uA	pass
89	15:41:50	DC	024,5	uA	pass
90	15:41:51	DC	024,4	uA	pass
91	15:41:51	DC	024,4	uA	pass
92	15:41:52	DC	024,3	uA	pass
93	15:41:52	DC	024,3	uA	pass
94	15:41:53	DC	024,2	uA	pass
95	15:41:53	DC	024,2	uA	pass
96	15:41:54	DC	024,2	uA	pass
97	15:41:55	DC	024,1	uA	pass
98	15:41:55	DC	024,1	uA	pass
99	15:41:56	DC	024,1	uA	pass
100	15:41:56	DC	024,0	uA	pass
101	15:41:57	DC	023,9	uA	pass
102	15:41:58	DC	023,9	uA	pass
103	15:41:58	DC	023,8	uA	pass
104	15:41:59	DC	023,8	uA	pass
105	15:41:59	DC	023,8	uA	pass
106	15:42:00	DC	023,7	uA	pass
107	15:42:00	DC	023,7	uA	pass
108	15:42:01	DC	023,6	uA	pass
109	15:42:02	DC	023,5	uA	pass
110	15:42:02	DC	023,5	uA	pass
111	15:42:03	DC	023,4	uA	pass
112	15:42:03	DC	023,4	uA	pass
113	15:42:04	DC	023,3	uA	pass
114	15:42:05	DC	023,3	uA	pass
115	15:42:05	DC	023,3	uA	pass
116	15:42:06	DC	023,2	uA	pass
117	15:42:06	DC	023,1	uA	pass
118	15:42:07	DC	023,0	uA	pass
119	15:42:07	DC	023,0	uA	pass
120	15:42:08	DC	022,9	uA	pass
121	15:42:09	DC	022,9	uA	pass
122	15:42:09	DC	022,9	uA	pass
123	15:42:10	DC	022,8	uA	pass
124	15:42:10	DC	022,7	uA	pass
125	15:42:11	DC	022,6	uA	pass
126	15:42:12	DC	022,6	uA	pass
127	15:42:12	DC	022,5	uA	pass
128	15:42:13	DC	022,5	uA	pass
129	15:42:13	DC	022,4	uA	pass
130	15:42:14	DC	022,4	uA	pass
131	15:42:14	DC	022,3	uA	pass
132	15:42:15	DC	022,2	uA	pass
133	15:42:16	DC	022,2	uA	pass
134	15:42:16	DC	022,1	uA	pass
135	15:42:17	DC	022,0	uA	pass
136	15:42:17	DC	022,0	uA	pass
137	15:42:18	DC	021,9	uA	pass
138	15:42:18	DC	021,8	uA	pass
139	15:42:19	DC	021,7	uA	pass
140	15:42:20	DC	021,7	uA	pass
141	15:42:20	DC	021,6	uA	pass
142	15:42:21	DC	021,5	uA	pass
143	15:42:21	DC	021,5	uA	pass
144	15:42:22	DC	021,4	uA	pass
145	15:42:22	DC	021,3	uA	pass
146	15:42:23	DC	021,3	uA	pass
147	15:42:24	DC	021,2	uA	pass
148	15:42:24	DC	021,1	uA	pass
149	15:42:25	DC	021,1	uA	pass
150	15:42:25	DC	021,0	uA	pass
151	15:42:26	DC	020,9	uA	pass
152	15:42:27	DC	020,8	uA	pass
153	15:42:27	DC	020,7	uA	pass
154	15:42:28	DC	020,6	uA	pass
155	15:42:28	DC	020,6	uA	pass
156	15:42:29	DC	020,5	uA	pass
157	15:42:30	DC	020,3	uA	pass
158	15:42:30	DC	020,2	uA	pass
159	15:42:31	DC	020,2	uA	pass
160	15:42:31	DC	020,1	uA	pass
161	15:42:32	DC	020,0	uA	pass
162	15:42:32	DC	019,9	uA	pass
163	15:42:33	DC	019,8	uA	pass
164	15:42:34	DC	019,6	uA	pass
165	15:42:34	DC	019,6	uA	pass
166	15:42:35	DC	019,4	uA	pass
167	15:42:35	DC	019,3	uA	pass
168	15:42:36	DC	019,2	uA	pass
169	15:42:36	DC	019,1	uA	pass
170	15:42:37	DC	019,0	uA	pass
171	15:42:38	DC	018,9	uA	pass
172	15:42:38	DC	018,8	uA	pass
173	15:42:39	DC	018,6	uA	pass
174	15:42:39	DC	018,5	uA	pass
175	15:42:40	DC	018,4	uA	pass
176	15:42:41	DC	018,3	uA	pass
177	15:42:41	DC	018,2	uA	pass
178	15:42:42	DC	018,0	uA	pass
179	15:42:42	DC	017,8	uA	pass
180	15:42:43	DC	017,7	uA	pass
181	15:42:43	DC	017,6	uA	pass
182	15:42:44	DC	017,4	uA	pass
183	15:42:45	DC	017,3	uA	pass
184	15:42:45	DC	017,2	uA	pass
185	15:42:46	DC	017,0	uA	pass
186	15:42:46	DC	016,9	uA	pass
187	15:42:47	DC	016,7	uA	pass
188	15:42:48	DC	016,5	uA	pass
189	15:42:48	DC	016,4	uA	pass
190	15:42:49	DC	016,2	uA	pass
191	15:42:49	DC	016,0	uA	pass
192	15:42:50	DC	015,9	uA	pass
193	15:42:50	DC	015,7	uA	pass
194	15:42:51	DC	015,5	uA	pass
195	15:42:52	DC	015,4	uA	pass
196	15:42:52	DC	015,1	uA	pass
197	15:42:53	DC	014,9	uA	pass
198	15:42:53	DC	014,8	uA	pass
199	15:42:54	DC	014,5	uA	pass
200	15:42:55	DC	014,3	uA	pass
201	15:42:55	DC	014,2	uA	pass
202	15:42:56	DC	013,9	uA	pass
203	15:42:56	DC	013,6	uA	pass
204	15:42:57	DC	013,5	uA	pass
205	15:42:58	DC	013,3	uA	pass
206	15:42:58	DC	013,0	uA	pass
207	15:42:59	DC	012,7	uA	pass
208	15:42:59	DC	012,6	uA	pass
209	15:43:00	DC	012,3	uA	pass
210	15:43:00	DC	012,2	uA	pass
211	15:43:01	DC	011,8	uA	pass
212	15:43:02	DC	011,5	uA	pass
213	15:43:02	DC	011,2	uA	pass
214	15:43:03	DC	011,0	uA	pass
215	15:43:03	DC	010,7	uA	pass
216	15:43:04	DC	010,4	uA	pass
217	15:43:04	DC	010,3	uA	pass
218	15:43:05	DC	010,0	uA	pass
219	15:43:06	DC	009,6	uA	pass
220	15:43:06	DC	009,5	uA	pass
221	15:43:07	DC	009,1	uA	pass
222	15:43:08	DC	008,7	uA	pass
223	15:43:08	DC	008,5	uA	pass
224	15:43:09	DC	008,2	uA	pass
225	15:43:09	DC	007,8	uA	pass
226	15:43:10	DC	007,6	uA	pass
227	15:43:10	DC	007,3	uA	pass
228	15:43:11	DC	006,9	uA	pass
229	15:43:12	DC	006,7	uA	pass
230	15:43:12	DC	006,3	uA	pass
231	15:43:13	DC	005,9	uA	pass
232	15:43:13	DC	005,7	uA	pass
233	15:43:14	DC	005,3	uA	pass
234	15:43:14	DC	004,9	uA	pass
235	15:43:15	DC	004,7	uA	pass
236	15:43:16	DC	004,3	uA	pass
237	15:43:16	DC	004,0	uA	pass
238	15:43:17	DC	003,6	uA	pass
239	15:43:17	DC	003,1	uA	pass
240	15:43:18	DC	002,8	uA	pass
241	15:43:18	DC	002,6	uA	pass
242	15:43:19	DC	002,1	uA	pass
243	15:43:20	DC	001,7	uA	pass
244	15:43:20	DC	001,5	uA	pass
245	15:43:21	DC	001,1	uA	pass
246	15:43:21	DC	000,6	uA	pass
247	15:43:22	DC	000,4	uA	pass
248	15:43:23	DC	-000,2	uA	pass
249	15:43:23	DC	-000,6	uA	pass
250	15:43:24	DC	-000,8	uA	pass
251	15:43:24	DC	-001,3	uA	pass
252	15:43:25	DC	-001,7	uA	pass
253	15:43:25	DC	-002,0	uA	pass
254	15:43:26	DC	-002,5	uA	pass
255	15:43:27	DC	-002,8	uA	pass
256	15:43:27	DC	-003,3	uA	pass
257	15:43:28	DC	-003,8	uA	pass
258	15:43:28	DC	-004,4	uA	pass
259	15:43:29	DC	-004,6	uA	pass
260	15:43:30	DC	-005,2	uA	pass
261	15:43:30	DC	-005,5	uA	pass
262	15:43:31	DC	-006,0	uA	pass
263	15:43:31	DC	-006,6	uA	pass
264	15:43:32	DC	-007,0	uA	pass
265	15:43:32	DC	-007,3	uA	pass
266	15:43:33	DC	-007,8	uA	pass
267	15:43:34	DC	-008,4	uA	pass
268	15:43:34	DC	-008,6	uA	pass
269	15:43:35	DC	-009,2	uA	pass
270	15:43:35	DC	-009,8	uA	pass
271	15:43:36	DC	-010,0	uA	pass
272	15:43:36	DC	-010,6	uA	pass
273	15:43:37	DC	-011,2	uA	pass
274	15:43:38	DC	-011,4	uA	pass
275	15:43:38	DC	-012,0	uA	pass
276	15:43:39	DC	-012,6	uA	pass
277	15:43:39	DC	-012,9	uA	pass
278	15:43:40	DC	-013,5	uA	pass
279	15:43:41	DC	-014,2	uA	pass
280	15:43:41	DC	-014,5	uA	pass
281	15:43:42	DC	-015,1	uA	pass
282	15:43:42	DC	-015,7	uA	pass
283	15:43:43	DC	-016,3	uA	pass
284	15:43:44	DC	-016,6	uA	pass
285	15:43:44	DC	-017,2	uA	pass
286	15:43:45	DC	-017,5	uA	pass
287	15:43:45	DC	-018,1	uA	pass
288	15:43:46	DC	-018,8	uA	pass
289	15:43:46	DC	-019,4	uA	pass
290	15:43:47	DC	-019,7	uA	pass
291	15:43:48	DC	-020,3	uA	pass
292	15:43:48	DC	-020,9	uA	pass
293	15:43:49	DC	-021,2	uA	pass
294	15:43:49	DC	-021,8	uA	pass
295	15:43:50	DC	-022,5	uA	pass
296	15:43:50	DC	-022,8	uA	pass
297	15:43:51	DC	-023,5	uA	pass
298	15:43:52	DC	-024,2	uA	pass
299	15:43:52	DC	-024,6	uA	pass
300	15:43:53	DC	-025,3	uA	pass
301	15:43:53	DC	-026,0	uA	pass
302	15:43:54	DC	-026,3	uA	pass
303	15:43:55	DC	-027,1	uA	pass
304	15:43:55	DC	-027,8	uA	pass
305	15:43:56	DC	-028,2	uA	pass
306	15:43:56	DC	-028,9	uA	pass
