No	Time	DC/AC	Value	Unit	AUTO
1	16:06:30	DC	-061,9	V	pass
2	16:06:30	DC	-061,9	V	pass
3	16:06:31	DC	-061,9	V	pass
4	16:06:31	DC	-061,9	V	pass
5	16:06:32	DC	-061,9	V	pass
6	16:06:33	DC	-061,9	V	pass
7	16:06:33	DC	-061,9	V	pass
8	16:06:34	DC	-061,9	V	pass
9	16:06:35	DC	-061,9	V	pass
10	16:06:35	DC	-061,9	V	pass
11	16:06:36	DC	-061,9	V	pass
12	16:06:36	DC	-061,9	V	pass
13	16:06:37	DC	-062,0	V	pass
14	16:06:37	DC	-061,9	V	pass
15	16:06:38	DC	-061,9	V	pass
16	16:06:39	DC	-061,9	V	pass
17	16:06:39	DC	-061,8	V	pass
18	16:06:40	DC	-061,8	V	pass
19	16:06:41	DC	-061,7	V	pass
20	16:06:41	DC	-061,6	V	pass
21	16:06:42	DC	-061,6	V	pass
22	16:06:42	DC	-061,5	V	pass
23	16:06:43	DC	-061,5	V	pass
24	16:06:44	DC	-061,4	V	pass
25	16:06:44	DC	-061,4	V	pass
26	16:06:45	DC	-061,3	V	pass
27	16:06:45	DC	-061,3	V	pass
28	16:06:46	DC	-061,2	V	pass
29	16:06:47	DC	-061,2	V	pass
30	16:06:47	DC	-061,1	V	pass
31	16:06:48	DC	-061,1	V	pass
32	16:06:48	DC	-061,0	V	pass
33	16:06:49	DC	-061,0	V	pass
34	16:06:49	DC	-060,9	V	pass
35	16:06:50	DC	-060,8	V	pass
36	16:06:51	DC	-060,8	V	pass
37	16:06:51	DC	-060,7	V	pass
38	16:06:52	DC	-060,7	V	pass
39	16:06:52	DC	-060,6	V	pass
40	16:06:53	DC	-060,6	V	pass
41	16:06:54	DC	-060,5	V	pass
42	16:06:54	DC	-060,5	V	pass
43	16:06:55	DC	-060,4	V	pass
44	16:06:55	DC	-060,3	V	pass
45	16:06:56	DC	-060,3	V	pass
46	16:06:57	DC	-060,2	V	pass
47	16:06:57	DC	-060,2	V	pass
48	16:06:58	DC	-060,1	V	pass
49	16:06:58	DC	-060,1	V	pass
50	16:06:59	DC	-060,0	V	pass
51	16:06:59	DC	-060,0	V	pass
52	16:07:00	DC	-059,9	V	pass
53	16:07:01	DC	-059,9	V	pass
54	16:07:01	DC	-059,8	V	pass
55	16:07:02	DC	-059,7	V	pass
56	16:07:03	DC	-059,7	V	pass
57	16:07:03	DC	-059,6	V	pass
58	16:07:04	DC	-059,6	V	pass
59	16:07:04	DC	-059,5	V	pass
60	16:07:05	DC	-059,5	V	pass
61	16:07:05	DC	-059,4	V	pass
62	16:07:06	DC	-059,4	V	pass
63	16:07:07	DC	-059,3	V	pass
64	16:07:07	DC	-059,3	V	pass
65	16:07:08	DC	-059,2	V	pass
66	16:07:08	DC	-059,2	V	pass
67	16:07:09	DC	-059,1	V	pass
68	16:07:10	DC	-059,0	V	pass
69	16:07:10	DC	-058,9	V	pass
70	16:07:11	DC	-058,9	V	pass
71	16:07:12	DC	-058,8	V	pass
72	16:07:12	DC	-058,8	V	pass
73	16:07:13	DC	-058,7	V	pass
74	16:07:13	DC	-058,7	V	pass
75	16:07:14	DC	-058,6	V	pass
76	16:07:15	DC	-058,6	V	pass
77	16:07:15	DC	-058,5	V	pass
78	16:07:16	DC	-058,4	V	pass
79	16:07:17	DC	-058,4	V	pass
80	16:07:17	DC	-058,3	V	pass
81	16:07:18	DC	-058,3	V	pass
82	16:07:18	DC	-058,2	V	pass
83	16:07:19	DC	-058,2	V	pass
84	16:07:19	DC	-058,1	V	pass
85	16:07:20	DC	-058,0	V	pass
86	16:07:21	DC	-058,0	V	pass
87	16:07:21	DC	-057,9	V	pass
88	16:07:22	DC	-057,9	V	pass
89	16:07:22	DC	-057,8	V	pass
90	16:07:23	DC	-057,8	V	pass
91	16:07:24	DC	-057,7	V	pass
92	16:07:24	DC	-057,7	V	pass
93	16:07:25	DC	-057,6	V	pass
94	16:07:25	DC	-057,6	V	pass
