No	Time	DC/AC	Value	Unit	AUTO
1	15:01:13	DC	022,0	uA	pass
2	15:01:14	DC	022,0	uA	pass
3	15:01:14	DC	022,0	uA	pass
4	15:01:15	DC	022,0	uA	pass
5	15:01:16	DC	021,9	uA	pass
6	15:01:16	DC	021,9	uA	pass
7	15:01:17	DC	021,9	uA	pass
8	15:01:17	DC	021,9	uA	pass
9	15:01:18	DC	021,9	uA	pass
10	15:01:18	DC	021,9	uA	pass
11	15:01:19	DC	021,9	uA	pass
12	15:01:19	DC	021,9	uA	pass
13	15:01:20	DC	021,9	uA	pass
14	15:01:21	DC	021,9	uA	pass
15	15:01:21	DC	021,9	uA	pass
16	15:01:22	DC	021,9	uA	pass
17	15:01:22	DC	021,9	uA	pass
18	15:01:23	DC	021,9	uA	pass
19	15:01:24	DC	021,9	uA	pass
20	15:01:24	DC	021,9	uA	pass
21	15:01:25	DC	021,9	uA	pass
22	15:01:25	DC	021,8	uA	pass
23	15:01:26	DC	021,8	uA	pass
24	15:01:26	DC	021,7	uA	pass
25	15:01:27	DC	021,7	uA	pass
26	15:01:28	DC	021,7	uA	pass
27	15:01:28	DC	021,6	uA	pass
28	15:01:29	DC	021,6	uA	pass
29	15:01:29	DC	021,6	uA	pass
30	15:01:30	DC	021,6	uA	pass
31	15:01:31	DC	021,6	uA	pass
32	15:01:31	DC	021,6	uA	pass
33	15:01:32	DC	021,5	uA	pass
34	15:01:32	DC	021,5	uA	pass
35	15:01:33	DC	021,5	uA	pass
36	15:01:34	DC	021,5	uA	pass
37	15:01:34	DC	021,4	uA	pass
38	15:01:35	DC	021,4	uA	pass
39	15:01:35	DC	021,4	uA	pass
40	15:01:36	DC	021,4	uA	pass
41	15:01:37	DC	021,4	uA	pass
42	15:01:37	DC	021,3	uA	pass
43	15:01:38	DC	021,3	uA	pass
44	15:01:38	DC	021,3	uA	pass
45	15:01:39	DC	021,2	uA	pass
46	15:01:39	DC	021,2	uA	pass
47	15:01:40	DC	021,2	uA	pass
48	15:01:41	DC	021,1	uA	pass
49	15:01:41	DC	021,1	uA	pass
50	15:01:42	DC	021,0	uA	pass
51	15:01:42	DC	021,0	uA	pass
52	15:01:43	DC	021,0	uA	pass
53	15:01:43	DC	021,0	uA	pass
54	15:01:44	DC	021,0	uA	pass
55	15:01:45	DC	020,9	uA	pass
56	15:01:45	DC	020,9	uA	pass
57	15:01:46	DC	020,9	uA	pass
58	15:01:46	DC	020,8	uA	pass
59	15:01:47	DC	020,8	uA	pass
60	15:01:47	DC	020,8	uA	pass
61	15:01:48	DC	020,8	uA	pass
62	15:01:49	DC	020,8	uA	pass
63	15:01:49	DC	020,7	uA	pass
64	15:01:50	DC	020,7	uA	pass
65	15:01:50	DC	020,7	uA	pass
66	15:01:51	DC	020,6	uA	pass
67	15:01:52	DC	020,6	uA	pass
68	15:01:52	DC	020,6	uA	pass
69	15:01:53	DC	020,5	uA	pass
70	15:01:53	DC	020,5	uA	pass
71	15:01:54	DC	020,5	uA	pass
72	15:01:55	DC	020,5	uA	pass
73	15:01:55	DC	020,4	uA	pass
74	15:01:56	DC	020,4	uA	pass
