# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.318175731279380E-001 4.931802070939945E+001 
2.235007500000000E+009 -3.353980366993932E-001 4.931182012201967E+001 
2.235015000000000E+009 -3.385049197299259E-001 4.929894740180067E+001 
2.235022500000000E+009 -3.391015203725411E-001 4.928436953349549E+001 
2.235030000000000E+009 -3.396011928519168E-001 4.929032942368474E+001 
2.235037500000000E+009 -3.394383858359195E-001 4.926239566711649E+001 
2.235045000000000E+009 -3.396687249758815E-001 4.924956980289392E+001 
2.235052500000000E+009 -3.406883868128687E-001 4.925407209348166E+001 
2.235060000000000E+009 -3.392573446485785E-001 4.924917481840448E+001 
2.235067500000000E+009 -3.405215450860978E-001 4.921444522420012E+001 
2.235075000000000E+009 -3.411650644036046E-001 4.922114949697938E+001 
2.235082500000000E+009 -3.397210183384248E-001 4.921058249851845E+001 
2.235090000000000E+009 -3.403627391609485E-001 4.919615323047619E+001 
2.235097500000000E+009 -3.397345536263160E-001 4.918558036692236E+001 
2.235105000000000E+009 -3.389495566316305E-001 4.918163187129055E+001 
2.235112500000000E+009 -3.402634787506502E-001 4.917590020509136E+001 
2.235120000000000E+009 -3.392690215475459E-001 4.915412210842692E+001 
2.235127500000000E+009 -3.394813695515607E-001 4.914103327847920E+001 
2.235135000000000E+009 -3.400308559034105E-001 4.915613532499554E+001 
2.235142500000000E+009 -3.397436320906020E-001 4.912843057713409E+001 
2.235150000000000E+009 -3.395638297253699E-001 4.912650668169568E+001 
2.235157500000000E+009 -3.416775892036212E-001 4.911517388521237E+001 
2.235165000000000E+009 -3.415710460262664E-001 4.910771260633702E+001 
2.235172500000000E+009 -3.399624704911128E-001 4.909295881489837E+001 
2.235180000000000E+009 -3.419983103069344E-001 4.907035301996537E+001 
2.235187500000000E+009 -3.417370486273401E-001 4.907025822227040E+001 
2.235195000000000E+009 -3.392012555659644E-001 4.906415665290466E+001 
2.235202500000000E+009 -3.409460975844869E-001 4.904749531451846E+001 
2.235210000000000E+009 -3.411207840162262E-001 4.905306880785687E+001 
