No	Time	DC/AC	Value	Unit	AUTO
1	17:44:55	DC	-069,4	uA	pass
2	17:44:56	DC	-069,4	uA	pass
3	17:44:57	DC	-069,4	uA	pass
4	17:44:57	DC	-069,4	uA	pass
5	17:44:58	DC	-069,5	uA	pass
6	17:44:58	DC	-069,6	uA	pass
7	17:44:59	DC	-069,6	uA	pass
8	17:44:59	DC	-069,7	uA	pass
9	17:45:00	DC	-069,8	uA	pass
10	17:45:00	DC	-069,8	uA	pass
11	17:45:01	DC	-069,8	uA	pass
12	17:45:02	DC	-069,9	uA	pass
13	17:45:02	DC	-069,9	uA	pass
14	17:45:03	DC	-070,0	uA	pass
15	17:45:03	DC	-070,1	uA	pass
16	17:45:04	DC	-070,0	uA	pass
17	17:45:05	DC	-069,6	uA	pass
18	17:45:05	DC	-069,4	uA	pass
19	17:45:06	DC	-068,8	uA	pass
20	17:45:06	DC	-068,1	uA	pass
21	17:45:07	DC	-068,8	uA	pass
22	17:45:07	DC	-068,7	uA	pass
23	17:45:08	DC	-068,3	uA	pass
24	17:45:09	DC	-067,8	uA	pass
25	17:45:09	DC	-067,5	uA	pass
26	17:45:10	DC	-067,0	uA	pass
27	17:45:10	DC	-066,3	uA	pass
28	17:45:11	DC	-066,0	uA	pass
29	17:45:12	DC	-065,4	uA	pass
30	17:45:12	DC	-062,4	uA	pass
31	17:45:13	DC	-062,3	uA	pass
32	17:45:13	DC	-062,0	uA	pass
33	17:45:14	DC	-061,5	uA	pass
34	17:45:14	DC	-061,1	uA	pass
35	17:45:15	DC	-060,5	uA	pass
36	17:45:16	DC	-060,0	uA	pass
37	17:45:16	DC	-059,7	uA	pass
38	17:45:17	DC	-060,5	uA	pass
39	17:45:17	DC	-060,2	uA	pass
40	17:45:18	DC	-059,8	uA	pass
41	17:45:19	DC	-059,5	uA	pass
42	17:45:19	DC	-059,0	uA	pass
43	17:45:20	DC	-058,7	uA	pass
44	17:45:20	DC	-058,2	uA	pass
45	17:45:21	DC	-057,7	uA	pass
46	17:45:21	DC	-057,2	uA	pass
47	17:45:22	DC	-056,9	uA	pass
48	17:45:23	DC	-054,4	uA	pass
49	17:45:23	DC	-054,1	uA	pass
50	17:45:24	DC	-053,9	uA	pass
51	17:45:24	DC	-053,5	uA	pass
52	17:45:25	DC	-053,2	uA	pass
53	17:45:25	DC	-053,0	uA	pass
54	17:45:26	DC	-052,7	uA	pass
55	17:45:27	DC	-052,4	uA	pass
56	17:45:27	DC	-052,6	uA	pass
57	17:45:28	DC	-052,9	uA	pass
58	17:45:28	DC	-052,5	uA	pass
59	17:45:29	DC	-052,3	uA	pass
60	17:45:30	DC	-051,8	uA	pass
61	17:45:30	DC	-051,3	uA	pass
62	17:45:31	DC	-051,1	uA	pass
63	17:45:31	DC	-050,6	uA	pass
64	17:45:32	DC	-048,1	uA	pass
65	17:45:33	DC	-048,0	uA	pass
66	17:45:33	DC	-047,8	uA	pass
67	17:45:34	DC	-047,3	uA	pass
68	17:45:34	DC	-047,1	uA	pass
69	17:45:35	DC	-046,6	uA	pass
70	17:45:35	DC	-046,2	uA	pass
71	17:45:36	DC	-046,0	uA	pass
72	17:45:37	DC	-045,6	uA	pass
73	17:45:37	DC	-045,6	uA	pass
74	17:45:38	DC	-045,8	uA	pass
75	17:45:38	DC	-046,2	uA	pass
76	17:45:39	DC	-045,7	uA	pass
77	17:45:40	DC	-045,5	uA	pass
78	17:45:40	DC	-045,1	uA	pass
79	17:45:41	DC	-044,6	uA	pass
80	17:45:41	DC	-044,4	uA	pass
81	17:45:42	DC	-044,2	uA	pass
82	17:45:42	DC	-041,9	uA	pass
83	17:45:43	DC	-041,8	uA	pass
84	17:45:44	DC	-041,5	uA	pass
85	17:45:44	DC	-041,1	uA	pass
86	17:45:45	DC	-040,9	uA	pass
87	17:45:45	DC	-040,5	uA	pass
88	17:45:46	DC	-040,2	uA	pass
89	17:45:47	DC	-040,0	uA	pass
90	17:45:47	DC	-040,1	uA	pass
91	17:45:48	DC	-040,5	uA	pass
92	17:45:48	DC	-040,6	uA	pass
93	17:45:49	DC	-040,1	uA	pass
94	17:45:49	DC	-039,7	uA	pass
95	17:45:50	DC	-039,4	uA	pass
96	17:45:51	DC	-039,3	uA	pass
97	17:45:51	DC	-038,9	uA	pass
98	17:45:52	DC	-036,8	uA	pass
99	17:45:52	DC	-036,7	uA	pass
100	17:45:53	DC	-036,5	uA	pass
101	17:45:54	DC	-036,2	uA	pass
102	17:45:54	DC	-036,0	uA	pass
103	17:45:55	DC	-035,7	uA	pass
104	17:45:55	DC	-035,4	uA	pass
105	17:45:56	DC	-035,2	uA	pass
106	17:45:56	DC	-034,8	uA	pass
107	17:45:57	DC	-035,2	uA	pass
108	17:45:58	DC	-035,4	uA	pass
109	17:45:58	DC	-035,4	uA	pass
110	17:45:59	DC	-035,0	uA	pass
111	17:45:59	DC	-034,8	uA	pass
112	17:46:00	DC	-034,5	uA	pass
113	17:46:01	DC	-034,1	uA	pass
114	17:46:01	DC	-033,9	uA	pass
115	17:46:02	DC	-033,5	uA	pass
116	17:46:02	DC	-031,5	uA	pass
117	17:46:03	DC	-031,4	uA	pass
118	17:46:04	DC	-031,3	uA	pass
119	17:46:04	DC	-031,1	uA	pass
120	17:46:05	DC	-030,8	uA	pass
121	17:46:05	DC	-030,6	uA	pass
122	17:46:06	DC	-030,3	uA	pass
123	17:46:06	DC	-030,1	uA	pass
124	17:46:07	DC	-030,1	uA	pass
125	17:46:08	DC	-030,5	uA	pass
126	17:46:08	DC	-030,5	uA	pass
127	17:46:09	DC	-030,3	uA	pass
128	17:46:09	DC	-030,0	uA	pass
129	17:46:10	DC	-029,7	uA	pass
130	17:46:11	DC	-029,5	uA	pass
131	17:46:11	DC	-029,2	uA	pass
132	17:46:12	DC	-028,9	uA	pass
133	17:46:12	DC	-027,0	uA	pass
134	17:46:13	DC	-026,9	uA	pass
135	17:46:14	DC	-026,8	uA	pass
136	17:46:14	DC	-026,7	uA	pass
137	17:46:15	DC	-026,4	uA	pass
138	17:46:15	DC	-026,3	uA	pass
139	17:46:16	DC	-026,0	uA	pass
140	17:46:16	DC	-025,7	uA	pass
141	17:46:17	DC	-025,8	uA	pass
142	17:46:18	DC	-026,0	uA	pass
143	17:46:18	DC	-026,4	uA	pass
144	17:46:19	DC	-026,1	uA	pass
145	17:46:19	DC	-025,9	uA	pass
146	17:46:20	DC	-025,7	uA	pass
147	17:46:21	DC	-025,4	uA	pass
148	17:46:21	DC	-025,2	uA	pass
149	17:46:22	DC	-025,0	uA	pass
150	17:46:22	DC	-023,1	uA	pass
151	17:46:23	DC	-023,0	uA	pass
152	17:46:23	DC	-022,9	uA	pass
153	17:46:24	DC	-022,7	uA	pass
154	17:46:24	DC	-022,6	uA	pass
155	17:46:25	DC	-022,3	uA	pass
156	17:46:26	DC	-022,2	uA	pass
157	17:46:26	DC	-021,9	uA	pass
158	17:46:27	DC	-021,6	uA	pass
159	17:46:27	DC	-022,0	uA	pass
160	17:46:28	DC	-022,2	uA	pass
161	17:46:29	DC	-022,2	uA	pass
162	17:46:29	DC	-022,1	uA	pass
163	17:46:30	DC	-021,8	uA	pass
164	17:46:30	DC	-021,5	uA	pass
165	17:46:31	DC	-021,3	uA	pass
166	17:46:31	DC	-021,1	uA	pass
167	17:46:32	DC	-020,8	uA	pass
168	17:46:33	DC	-019,9	uA	pass
169	17:46:33	DC	-019,5	uA	pass
170	17:46:34	DC	-018,9	uA	pass
171	17:46:34	DC	-018,7	uA	pass
172	17:46:35	DC	-018,5	uA	pass
173	17:46:36	DC	-018,3	uA	pass
174	17:46:36	DC	-018,1	uA	pass
175	17:46:37	DC	-017,9	uA	pass
176	17:46:37	DC	-018,3	uA	pass
177	17:46:38	DC	-018,7	uA	pass
178	17:46:38	DC	-018,6	uA	pass
179	17:46:39	DC	-018,3	uA	pass
180	17:46:40	DC	-018,0	uA	pass
181	17:46:40	DC	-017,9	uA	pass
182	17:46:41	DC	-017,7	uA	pass
183	17:46:41	DC	-017,4	uA	pass
184	17:46:42	DC	-017,0	uA	pass
185	17:46:43	DC	-016,6	uA	pass
186	17:46:43	DC	-015,7	uA	pass
187	17:46:44	DC	-015,5	uA	pass
188	17:46:44	DC	-015,3	uA	pass
189	17:46:45	DC	-015,1	uA	pass
190	17:46:45	DC	-014,9	uA	pass
191	17:46:46	DC	-014,8	uA	pass
192	17:46:47	DC	-014,6	uA	pass
193	17:46:47	DC	-014,9	uA	pass
194	17:46:48	DC	-015,1	uA	pass
195	17:46:48	DC	-015,2	uA	pass
196	17:46:49	DC	-015,0	uA	pass
197	17:46:49	DC	-014,9	uA	pass
198	17:46:50	DC	-014,6	uA	pass
199	17:46:51	DC	-014,4	uA	pass
