No	Time	DC/AC	Value	Unit	AUTO
1	16:19:14	DC	12,47	V	pass
2	16:19:15	DC	12,47	V	pass
3	16:19:15	DC	12,47	V	pass
4	16:19:16	DC	12,47	V	pass
5	16:19:16	DC	12,47	V	pass
6	16:19:17	DC	12,47	V	pass
7	16:19:18	DC	12,47	V	pass
8	16:19:18	DC	12,47	V	pass
9	16:19:19	DC	12,47	V	pass
10	16:19:19	DC	12,47	V	pass
11	16:19:20	DC	12,47	V	pass
12	16:19:20	DC	12,47	V	pass
13	16:19:21	DC	12,47	V	pass
14	16:19:22	DC	12,45	V	pass
15	16:19:22	DC	12,43	V	pass
16	16:19:23	DC	12,38	V	pass
17	16:19:24	DC	12,32	V	pass
18	16:19:24	DC	12,26	V	pass
19	16:19:25	DC	12,23	V	pass
20	16:19:25	DC	12,16	V	pass
21	16:19:26	DC	12,09	V	pass
22	16:19:27	DC	12,03	V	pass
23	16:19:27	DC	12,00	V	pass
24	16:19:28	DC	11,94	V	pass
25	16:19:28	DC	11,88	V	pass
26	16:19:29	DC	11,84	V	pass
27	16:19:30	DC	11,77	V	pass
28	16:19:30	DC	11,70	V	pass
29	16:19:31	DC	11,67	V	pass
30	16:19:31	DC	11,61	V	pass
31	16:19:32	DC	11,57	V	pass
32	16:19:32	DC	11,50	V	pass
33	16:19:33	DC	11,43	V	pass
34	16:19:34	DC	11,39	V	pass
35	16:19:34	DC	11,33	V	pass
36	16:19:35	DC	11,27	V	pass
37	16:19:35	DC	11,23	V	pass
38	16:19:36	DC	11,16	V	pass
39	16:19:37	DC	11,13	V	pass
40	16:19:37	DC	11,06	V	pass
41	16:19:38	DC	10,99	V	pass
42	16:19:38	DC	10,96	V	pass
43	16:19:39	DC	10,89	V	pass
44	16:19:39	DC	10,86	V	pass
45	16:19:40	DC	10,78	V	pass
46	16:19:41	DC	10,75	V	pass
47	16:19:41	DC	10,68	V	pass
48	16:19:42	DC	10,62	V	pass
49	16:19:42	DC	10,59	V	pass
50	16:19:43	DC	10,52	V	pass
51	16:19:44	DC	10,46	V	pass
52	16:19:44	DC	10,43	V	pass
53	16:19:45	DC	10,36	V	pass
54	16:19:45	DC	10,30	V	pass
55	16:19:46	DC	10,27	V	pass
56	16:19:47	DC	10,21	V	pass
57	16:19:47	DC	10,14	V	pass
58	16:19:48	DC	10,11	V	pass
